iter	Passed	Remaining
0	0	28
1	0	23
2	1	21
3	1	20
4	2	19
5	2	18
6	2	17
7	3	17
8	3	17
9	4	16
10	4	15
11	4	15
12	5	15
13	5	14
14	6	14
15	6	13
16	6	13
17	7	12
18	7	12
19	8	12
20	8	11
21	8	11
22	9	10
23	9	10
24	9	9
25	10	9
26	10	9
27	11	8
28	11	8
29	12	8
30	12	7
31	13	7
32	13	7
33	14	6
34	14	6
35	14	5
36	15	5
37	15	4
38	16	4
39	16	4
40	16	3
41	17	3
42	17	2
43	17	2
44	18	2
45	18	1
46	18	1
47	19	0
48	19	0
49	20	0
